M = 0  out of  250
M = 25  out of  250
M = 50  out of  250
M = 75  out of  250
M = 100  out of  250
M = 125  out of  250
M = 150  out of  250
M = 175  out of  250
M = 200  out of  250
M = 225  out of  250
         4493559 function calls (4487363 primitive calls) in 61.601 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25501   25.630    0.001   30.226    0.001 decomp_svd.py:16(svd)
    93965    7.042    0.000    7.042    0.000 {built-in method numpy.core.multiarray.c_einsum}
    50500    6.755    0.000   10.188    0.000 MPS_fund_therm.py:142(unmerge)
    25750    6.376    0.000    6.925    0.000 MPS_fund_therm.py:65(merge)
  1535138    2.946    0.000    2.946    0.000 {method 'astype' of 'numpy.generic' objects}
    25501    1.828    0.000   33.544    0.001 MPS_fund_therm.py:23(SVD_sig)
    25501    1.301    0.000    1.637    0.000 function_base.py:1152(asarray_chkfinite)
   198912    1.256    0.000    1.256    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   119012    0.905    0.000    0.905    0.000 {built-in method numpy.core.multiarray.zeros}
    25501    0.862    0.000    1.653    0.000 lapack.py:511(_compute_lwork)
      250    0.506    0.002    3.155    0.013 U_JC_therm.py:14(U)
   146160    0.494    0.000    1.490    0.000 fromnumeric.py:1730(sum)
   156595    0.481    0.000    0.481    0.000 {built-in method numpy.core.multiarray.array}
    24951    0.457    0.000   50.940    0.002 MPS_fund_therm.py:263(cut)
    25501    0.340    0.000    0.880    0.000 blas.py:226(_get_funcs)
    25501    0.276    0.000    2.003    0.000 _util.py:192(_asarray_validated)
     2000    0.230    0.000    0.666    0.000 U_JC_therm.py:32(B)
     2000    0.228    0.000    0.681    0.000 U_JC_therm.py:48(Bd)
    49903    0.218    0.000    0.218    0.000 {built-in method numpy.core.multiarray.concatenate}
    60566    0.202    0.000    0.202    0.000 {built-in method numpy.core.multiarray.arange}
     1478    0.187    0.000    0.187    0.000 {built-in method nt.stat}
    25501    0.179    0.000    0.387    0.000 blas.py:177(find_best_blas_type)
    25506    0.177    0.000    0.177    0.000 getlimits.py:507(__init__)
      499    0.172    0.000   54.770    0.110 MPS_fund_therm.py:316(SWAP)
    56317    0.146    0.000    0.146    0.000 {method 'astype' of 'numpy.ndarray' objects}
    93965    0.143    0.000    7.208    0.000 einsumfunc.py:703(einsum)
   135845    0.140    0.000    0.141    0.000 {built-in method builtins.getattr}
264978/264976    0.111    0.000    0.113    0.000 {built-in method builtins.isinstance}
        1    0.089    0.089   61.602   61.602 MPS_JC+fb_short_therm.py:9(<module>)
   146160    0.088    0.000    0.924    0.000 _methods.py:31(_sum)
      251    0.087    0.000    0.608    0.002 MPS_analysis_therm.py:20(normf)
      750    0.082    0.000    0.359    0.000 U_JC_therm.py:125(MS)
    25501    0.076    0.000    0.153    0.000 numerictypes.py:964(find_common_type)
      750    0.073    0.000    0.239    0.000 U_JC_therm.py:90(JC)
    27233    0.073    0.000    0.354    0.000 fromnumeric.py:1886(any)
     2000    0.068    0.000    0.382    0.000 U_JC_therm.py:64(c)
     2000    0.065    0.000    0.344    0.000 U_JC_therm.py:71(cd)
      322    0.065    0.000    0.065    0.000 {built-in method marshal.loads}
    41/38    0.065    0.002    0.078    0.002 {built-in method _imp.create_dynamic}
     1500    0.055    0.000    1.619    0.001 U_JC_therm.py:121(MB)
      324    0.050    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:848(get_data)
    27361    0.041    0.000    0.056    0.000 numeric.py:534(asanyarray)
    51002    0.039    0.000    0.047    0.000 numerictypes.py:942(_can_coerce_all)
    25501    0.038    0.000    0.918    0.000 lapack.py:469(get_lapack_funcs)
    27233    0.034    0.000    0.226    0.000 {method 'any' of 'numpy.ndarray' objects}
    25519    0.033    0.000    0.296    0.000 {method 'all' of 'numpy.ndarray' objects}
    27131    0.032    0.000    0.043    0.000 numeric.py:463(asarray)
    25501    0.030    0.000    0.030    0.000 lapack.py:530(<listcomp>)
1226/1171    0.028    0.000    0.082    0.000 {built-in method builtins.__build_class__}
      800    0.028    0.000    0.028    0.000 {built-in method numpy.core.multiarray.dot}
    25503    0.028    0.000    0.028    0.000 getlimits.py:532(max)
    25501    0.027    0.000    0.027    0.000 blas.py:206(<listcomp>)
    80631    0.026    0.000    0.026    0.000 {method 'get' of 'dict' objects}
    25501    0.024    0.000    0.024    0.000 numerictypes.py:1015(<listcomp>)
      800    0.024    0.000    0.067    0.000 numeric.py:1157(tensordot)
    94048    0.023    0.000    0.023    0.000 {method 'pop' of 'dict' objects}
116645/116390    0.022    0.000    0.022    0.000 {built-in method builtins.len}
    25501    0.019    0.000    0.034    0.000 base.py:1111(isspmatrix)
    25519    0.019    0.000    0.264    0.000 _methods.py:40(_all)
    25515    0.018    0.000    0.018    0.000 {method 'index' of 'list' objects}
    27233    0.017    0.000    0.192    0.000 _methods.py:37(_any)
      799    0.017    0.000    0.017    0.000 {built-in method winreg.OpenKey}
      324    0.016    0.000    0.016    0.000 {method 'read' of '_io.FileIO' objects}
    25523    0.016    0.000    0.021    0.000 core.py:6192(isMaskedArray)
    65740    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
      260    0.015    0.000    0.015    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    349/1    0.013    0.000   61.602   61.602 {built-in method builtins.exec}
      753    0.011    0.000    0.030    0.000 MPS_analysis_therm.py:130(dB)
      550    0.010    0.000    1.009    0.002 MPS_fund_therm.py:188(OC_reloc)
      647    0.010    0.000    0.173    0.000 <frozen importlib._bootstrap_external>:1247(find_spec)
    25501    0.007    0.000    0.007    0.000 misc.py:169(_datacopied)
      500    0.007    0.000    0.013    0.000 U_JC_therm.py:78(sm)
      500    0.007    0.000    0.012    0.000 U_JC_therm.py:84(sp)
       38    0.007    0.000    0.007    0.000 {built-in method io.open}
      562    0.007    0.000    0.015    0.000 inspect.py:2071(_signature_from_function)
     1004    0.006    0.000    0.031    0.000 MPS_analysis_therm.py:66(exp_sys)
       24    0.006    0.000    0.030    0.001 __init__.py:1060(_rc_params_in_file)
  280/117    0.006    0.000    0.016    0.000 sre_parse.py:491(_parse)
      251    0.006    0.000    0.043    0.000 MPS_analysis_therm.py:126(g2_t)
    25501    0.006    0.000    0.006    0.000 numerictypes.py:1016(<listcomp>)
      415    0.005    0.000    0.215    0.001 <frozen importlib._bootstrap>:879(_find_spec)
