M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         48910792 function calls (48904933 primitive calls) in 7094.027 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    414/1    0.010    0.000 7094.028 7094.028 {built-in method builtins.exec}
        1    0.020    0.020 7094.028 7094.028 MPS_CCQED+fb_sp.py:9(<module>)
   315984    0.360    0.000 4508.186    0.014 einsumfunc.py:703(einsum)
   315984 4507.772    0.014 4507.772    0.014 {built-in method numpy.core.multiarray.c_einsum}
      237    3.458    0.015 3676.138   15.511 MPS_fund_sp.py:416(SWAP_back)
      237    4.318    0.018 3370.508   14.222 MPS_fund_sp.py:462(SWAP_U)
   189600    7.233    0.000 2124.828    0.011 MPS_fund_sp.py:22(SVD_sig)
   189837 1950.581    0.010 1953.191    0.010 linalg.py:1284(svd)
   189837  217.870    0.001  233.053    0.001 MPS_fund_sp.py:112(merge)
   189600   25.782    0.000  149.677    0.001 type_check.py:332(nan_to_num)
   379674  121.729    0.000  138.028    0.000 MPS_fund_sp.py:225(unmerge)
   758400    0.678    0.000  115.066    0.000 ufunclike.py:20(func)
   379200   63.042    0.000   63.042    0.000 ufunclike.py:84(isposinf)
   379200   51.346    0.000   51.346    0.000 ufunclike.py:144(isneginf)
   524765   48.519    0.000   48.519    0.000 {built-in method numpy.core.multiarray.dot}
      237    0.936    0.004   23.151    0.098 U_CCQED.py:15(U)
  1463288   17.814    0.000   17.814    0.000 {built-in method numpy.core.multiarray.zeros}
      238    0.006    0.000   17.052    0.072 MPS_analysis.py:21(normf)
      474    1.143    0.002   16.790    0.035 MPS_analysis.py:56(F)
    29345    0.259    0.000   16.141    0.001 contract.py:318(contract)
  2223117    2.066    0.000   11.454    0.000 fromnumeric.py:1886(any)
    29345    0.506    0.000   10.852    0.000 contract.py:426(_core_contract)
  4253296   10.402    0.000   10.402    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    57015    0.119    0.000    9.967    0.000 contract.py:310(_tensordot)
    57015    0.525    0.000    9.818    0.000 numeric.py:1157(tensordot)
        2    0.005    0.003    8.403    4.201 arpack.py:1688(svds)
  1137604    7.221    0.000    7.221    0.000 {built-in method numpy.core.multiarray.copyto}
        4    2.122    0.530    6.258    1.565 arpack.py:1656(_augmented_orthonormal_cols)
    12324    3.759    0.000    6.192    0.001 U_CCQED.py:494(nE)
      948    0.249    0.000    6.122    0.006 U_CCQED.py:562(ME3)
  2223117    1.015    0.000    6.085    0.000 {method 'any' of 'numpy.ndarray' objects}
  1459689    1.856    0.000    5.539    0.000 fromnumeric.py:1730(sum)
  2223117    0.587    0.000    5.071    0.000 _methods.py:37(_any)
      474    0.307    0.001    5.000    0.011 U_CCQED.py:567(ME4)
    29345    1.179    0.000    4.992    0.000 contract.py:14(contract_path)
     1896    0.820    0.000    4.908    0.003 U_CCQED.py:557(ME2)
   570459    1.540    0.000    4.564    0.000 fromnumeric.py:2408(prod)
  3723054    4.119    0.000    4.119    0.000 {built-in method numpy.core.multiarray.array}
    469/8    0.003    0.000    3.898    0.487 <frozen importlib._bootstrap>:965(_find_and_load)
    469/8    0.002    0.000    3.898    0.487 <frozen importlib._bootstrap>:938(_find_and_load_unlocked)
    450/8    0.002    0.000    3.897    0.487 <frozen importlib._bootstrap>:659(_load_unlocked)
    376/8    0.002    0.000    3.897    0.487 <frozen importlib._bootstrap_external>:691(exec_module)
        2    0.000    0.000    3.787    1.894 arpack.py:1680(_augmented_orthonormal_rows)
    617/8    0.001    0.000    3.755    0.469 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
  2468432    1.182    0.000    3.586    0.000 numeric.py:534(asanyarray)
  1459691    0.361    0.000    3.425    0.000 _methods.py:31(_sum)
     8532    1.192    0.000    3.121    0.000 U_CCQED.py:178(E)
     8532    1.135    0.000    3.038    0.000 U_CCQED.py:218(Ed)
     1422    0.137    0.000    3.037    0.002 U_CCQED.py:549(nEad)
     1422    0.137    0.000    3.034    0.002 U_CCQED.py:545(nEda)
   570459    0.201    0.000    3.024    0.000 _methods.py:34(_prod)
   278154    2.998    0.000    2.998    0.000 {method 'conj' of 'numpy.ndarray' objects}
    32232    0.034    0.000    2.857    0.000 fromnumeric.py:70(take)
    32232    0.031    0.000    2.823    0.000 fromnumeric.py:55(_wrapfunc)
    32232    2.785    0.000    2.785    0.000 {method 'take' of 'numpy.ndarray' objects}
191490/190563    0.255    0.000    2.694    0.000 <frozen importlib._bootstrap>:995(_handle_fromlist)
       15    0.001    0.000    2.576    0.172 __init__.py:1(<module>)
    14220    0.119    0.000    2.523    0.000 U_CCQED.py:138(nc)
   401/66    0.001    0.000    2.516    0.038 {built-in method builtins.__import__}
     1896    0.109    0.000    2.301    0.001 U_CCQED.py:553(ME1)
      376    0.004    0.000    2.058    0.005 <frozen importlib._bootstrap_external>:761(get_code)
    29107    0.497    0.000    2.033    0.000 paths.py:183(greedy)
      376    0.277    0.001    1.993    0.005 <frozen importlib._bootstrap_external>:848(get_data)
      711    0.288    0.000    1.948    0.003 U_CCQED.py:575(D1)
        2    0.000    0.000    1.911    0.955 arpack.py:1337(eigsh)
        2    0.001    0.001    1.911    0.955 arpack.py:1083(eigs)
      376    1.717    0.005    1.717    0.005 {method 'read' of '_io.FileIO' objects}
      605    0.321    0.001    1.712    0.003 arpack.py:720(iterate)
     1208    0.003    0.000    1.582    0.001 base.py:348(dot)
     1208    0.005    0.000    1.579    0.001 base.py:452(__mul__)
   189603    1.032    0.000    1.538    0.000 twodim_base.py:191(diag)
        1    0.000    0.000    1.506    1.506 __init__.py:106(<module>)
  446/438    0.001    0.000    1.473    0.003 <frozen importlib._bootstrap>:570(module_from_spec)
   189600    0.799    0.000    1.464    0.000 type_check.py:327(_getmaxmin)
    65/59    0.000    0.000    1.462    0.025 <frozen importlib._bootstrap_external>:935(create_module)
    65/59    1.450    0.022    1.461    0.025 {built-in method _imp.create_dynamic}
      603    0.005    0.000    1.391    0.002 interface.py:188(matvec)
      603    0.001    0.000    1.380    0.002 interface.py:470(_matvec)
      603    0.003    0.000    1.379    0.002 arpack.py:1801(matvec_XH_X)
     1206    0.009    0.000    1.368    0.001 compressed.py:451(_mul_vector)
   860844    1.253    0.000    1.253    0.000 {built-in method numpy.core.multiarray.arange}
      474    0.022    0.000    1.216    0.003 U_CCQED.py:174(MStot)
   171648    1.201    0.000    1.201    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      948    0.485    0.001    1.194    0.001 U_CCQED.py:158(MS)
      237    0.013    0.000    1.134    0.005 MPS_fund_sp.py:66(SVD_split)
     7584    0.252    0.000    1.100    0.000 U_CCQED.py:62(ad)
   120213    0.233    0.000    1.099    0.000 paths.py:85(_parse_possible_contraction)
     7584    0.248    0.000    1.086    0.000 U_CCQED.py:40(a)
        1    0.000    0.000    0.991    0.991 pyplot.py:19(<module>)
      474    0.011    0.000    0.932    0.002 MPS_fund_sp.py:367(split)
   209191    0.550    0.000    0.919    0.000 helpers.py:76(find_contraction)
        1    0.000    0.000    0.895    0.895 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.738    0.738 type_check.py:3(<module>)
   624808    0.734    0.000    0.734    0.000 {method 'astype' of 'numpy.ndarray' objects}
   189837    0.462    0.000    0.712    0.000 linalg.py:139(_commonType)
      603    0.708    0.001    0.708    0.001 {built-in method scipy.sparse._sparsetools.csc_matvec}
        1    0.000    0.000    0.647    0.647 __init__.py:101(<module>)
    27553    0.405    0.000    0.646    0.000 function_base.py:25(linspace)
      603    0.642    0.001    0.642    0.001 {built-in method scipy.sparse._sparsetools.csr_matvec}
      948    0.148    0.000    0.639    0.001 U_CCQED.py:107(JC)
