M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         49944522 function calls (49937501 primitive calls) in 1951.246 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    412/1    0.010    0.000 1951.322 1951.322 {built-in method builtins.exec}
        1    0.021    0.021 1951.322 1951.322 MPS_CCQED+fb_sp.py:9(<module>)
   315262    0.298    0.000 1025.316    0.003 einsumfunc.py:983(einsum)
   315262 1024.941    0.003 1024.941    0.003 {built-in method numpy.core.multiarray.c_einsum}
      237    1.264    0.005 1005.715    4.244 MPS_fund_sp.py:462(SWAP_U)
      237    1.206    0.005  903.901    3.814 MPS_fund_sp.py:416(SWAP_back)
   189600    7.498    0.000  631.236    0.003 MPS_fund_sp.py:22(SVD_sig)
   189837  545.089    0.003  548.158    0.003 linalg.py:1418(svd)
   379674  120.430    0.000  137.888    0.000 MPS_fund_sp.py:225(unmerge)
   189837   91.348    0.000  104.762    0.001 MPS_fund_sp.py:112(merge)
   189600   12.015    0.000   67.905    0.000 type_check.py:331(nan_to_num)
   758400    0.829    0.000   49.427    0.000 ufunclike.py:20(func)
   379200   27.097    0.000   27.097    0.000 ufunclike.py:84(isposinf)
      237    0.938    0.004   23.961    0.101 U_CCQED.py:15(U)
  4062324    7.363    0.000   23.856    0.000 fromnumeric.py:64(_wrapreduction)
   379200   21.500    0.000   21.500    0.000 ufunclike.py:144(isneginf)
  2223117    1.679    0.000   15.822    0.000 fromnumeric.py:1933(any)
   247335   15.788    0.000   15.788    0.000 {built-in method numpy.core.multiarray.dot}
  4177813   14.851    0.000   14.851    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      238    0.006    0.000   13.527    0.057 MPS_analysis.py:21(normf)
      474    0.832    0.002   13.134    0.028 MPS_analysis.py:56(F)
  1462066   12.628    0.000   12.628    0.000 {built-in method numpy.core.multiarray.zeros}
    29343    0.274    0.000   12.453    0.000 contract.py:318(contract)
  1268748    1.355    0.000    6.599    0.000 fromnumeric.py:1821(sum)
    12324    3.749    0.000    6.394    0.001 U_CCQED.py:494(nE)
      948    0.266    0.000    6.385    0.007 U_CCQED.py:562(ME3)
    29343    1.012    0.000    6.134    0.000 contract.py:18(contract_path)
    29343    0.435    0.000    5.994    0.000 contract.py:426(_core_contract)
   570459    0.566    0.000    5.367    0.000 fromnumeric.py:2478(prod)
      474    0.342    0.001    5.346    0.011 U_CCQED.py:567(ME4)
    57735    0.055    0.000    5.142    0.000 sharing.py:137(cached_tensordot)
     1896    0.844    0.000    5.037    0.003 U_CCQED.py:557(ME2)
    57735    0.110    0.000    5.034    0.000 contract.py:309(_tensordot)
    57735    0.701    0.000    4.891    0.000 numeric.py:1132(tensordot)
  1137603    4.835    0.000    4.835    0.000 {built-in method numpy.core.multiarray.copyto}
     1422    0.148    0.000    3.167    0.002 U_CCQED.py:549(nEad)
     1422    0.148    0.000    3.164    0.002 U_CCQED.py:545(nEda)
     8532    1.279    0.000    3.141    0.000 U_CCQED.py:178(E)
     8532    1.209    0.000    3.037    0.000 U_CCQED.py:218(Ed)
    14220    0.134    0.000    2.692    0.000 U_CCQED.py:138(nc)
