M = 0  out of  237
M = 23  out of  237
M = 46  out of  237
M = 69  out of  237
M = 92  out of  237
M = 115  out of  237
M = 138  out of  237
M = 161  out of  237
M = 184  out of  237
M = 207  out of  237
M = 230  out of  237
         15788728 function calls (15781629 primitive calls) in 1157.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    422/1    0.009    0.000 1157.602 1157.602 {built-in method builtins.exec}
        1    0.066    0.066 1157.602 1157.602 MPS_CCQED+fb_par.py:9(<module>)
      948    0.021    0.000 1115.648    1.177 queues.py:91(get)
      948    0.008    0.000 1114.422    1.176 connection.py:208(recv_bytes)
      948    0.061    0.000 1114.410    1.176 connection.py:406(_recv_bytes)
     1896    0.021    0.000 1114.346    0.588 connection.py:374(_recv)
     1896 1113.310    0.587 1113.310    0.587 {built-in method posix.read}
      237    0.093    0.000  568.184    2.397 MPS_fund_par.py:475(SWAP_back)
      237    0.131    0.001  549.967    2.321 MPS_fund_par.py:550(SWAP_U)
      237    0.915    0.004   23.541    0.099 U_CCQED.py:15(U)
      238    0.009    0.000   12.153    0.051 MPS_analysis.py:21(normf)
      474    0.691    0.001   11.758    0.025 MPS_analysis.py:56(F)
    29343    0.271    0.000   11.142    0.000 contract.py:318(contract)
    12324    3.741    0.000    6.339    0.001 U_CCQED.py:494(nE)
      948    0.259    0.000    6.229    0.007 U_CCQED.py:562(ME3)
    29343    1.017    0.000    6.228    0.000 contract.py:18(contract_path)
      474    0.326    0.001    5.202    0.011 U_CCQED.py:567(ME4)
   126610    0.090    0.000    5.084    0.000 einsumfunc.py:983(einsum)
     1896    0.810    0.000    4.993    0.003 U_CCQED.py:557(ME2)
   126610    4.971    0.000    4.971    0.000 {built-in method numpy.core.multiarray.c_einsum}
    29343    0.436    0.000    4.594    0.000 contract.py:426(_core_contract)
    57735    0.051    0.000    3.733    0.000 sharing.py:137(cached_tensordot)
    57735    0.111    0.000    3.633    0.000 contract.py:309(_tensordot)
    57735    0.707    0.000    3.491    0.000 numeric.py:1132(tensordot)
     1422    0.146    0.000    3.125    0.002 U_CCQED.py:549(nEad)
     1422    0.145    0.000    3.088    0.002 U_CCQED.py:545(nEda)
     8532    1.231    0.000    3.038    0.000 U_CCQED.py:178(E)
     8532    1.167    0.000    2.934    0.000 U_CCQED.py:218(Ed)
    14220    0.138    0.000    2.642    0.000 U_CCQED.py:138(nc)
     1896    0.111    0.000    2.385    0.001 U_CCQED.py:553(ME1)
    29105    0.498    0.000    2.366    0.000 paths.py:184(greedy)
   141502    2.365    0.000    2.365    0.000 {built-in method numpy.core.multiarray.zeros}
    32232    0.038    0.000    2.333    0.000 fromnumeric.py:86(take)
    32232    0.020    0.000    2.296    0.000 fromnumeric.py:49(_wrapfunc)
    32232    2.269    0.000    2.269    0.000 {method 'take' of 'numpy.ndarray' objects}
   242034    0.196    0.000    1.895    0.000 fromnumeric.py:1933(any)
      711    0.298    0.000    1.881    0.003 U_CCQED.py:575(D1)
   248682    0.544    0.000    1.750    0.000 fromnumeric.py:64(_wrapreduction)
   364171    1.654    0.000    1.654    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    58683    1.465    0.000    1.465    0.000 {built-in method numpy.core.multiarray.dot}
      948    0.041    0.000    1.385    0.001 process.py:95(start)
      948    0.021    0.000    1.329    0.001 context.py:221(_Popen)
   120205    0.254    0.000    1.326    0.000 paths.py:86(_parse_possible_contraction)
      948    0.023    0.000    1.307    0.001 context.py:274(_Popen)
   209177    0.640    0.000    1.278    0.000 helpers.py:78(find_contraction)
      948    0.019    0.000    1.267    0.001 popen_fork.py:16(__init__)
      948    0.075    0.000    1.241    0.001 popen_fork.py:64(_launch)
      474    0.013    0.000    1.205    0.003 MPS_fund_par.py:368(split)
     7584    0.273    0.000    1.203    0.000 U_CCQED.py:62(ad)
      474    0.023    0.000    1.197    0.003 U_CCQED.py:174(MStot)
      948    1.194    0.001    1.194    0.001 {built-in method _pickle.loads}
     7584    0.268    0.000    1.186    0.000 U_CCQED.py:40(a)
      948    0.379    0.000    1.173    0.001 U_CCQED.py:158(MS)
      948    1.092    0.001    1.092    0.001 {built-in method posix.fork}
     2370    0.926    0.000    1.024    0.000 MPS_fund_par.py:226(unmerge)
     1896    1.014    0.001    1.014    0.001 {method 'write' of '_io.BytesIO' objects}
     1185    0.806    0.001    0.829    0.001 linalg.py:1418(svd)
