         266664 function calls (261463 primitive calls) in 0.405 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50/46    0.051    0.001    0.054    0.001 {built-in method _imp.create_dynamic}
      312    0.043    0.000    0.043    0.000 {built-in method marshal.loads}
      314    0.026    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:848(get_data)
1248/1195    0.019    0.000    0.046    0.000 {built-in method builtins.__build_class__}
       10    0.017    0.002    0.017    0.002 {method 'readline' of '_io.BufferedReader' objects}
      158    0.012    0.000    0.014    0.000 textwrap.py:414(dedent)
    343/1    0.011    0.000    0.405    0.405 {built-in method builtins.exec}
      314    0.008    0.000    0.008    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.007    0.007    0.007    0.007 {built-in method posix.open}
     1524    0.006    0.000    0.006    0.000 {built-in method posix.stat}
      665    0.006    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1247(find_spec)
      605    0.004    0.000    0.009    0.000 inspect.py:2071(_signature_from_function)
       27    0.004    0.000    0.015    0.001 __init__.py:1042(_rc_params_in_file)
      313    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:449(_validate_bytecode_header)
    390/8    0.003    0.000    0.405    0.051 <frozen importlib._bootstrap>:965(_find_and_load)
  249/105    0.003    0.000    0.009    0.000 sre_parse.py:491(_parse)
        1    0.003    0.003    0.003    0.003 {built-in method builtins.compile}
      763    0.003    0.000    0.003    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
      566    0.003    0.000    0.013    0.000 inspect.py:1057(getfullargspec)
6264/6248    0.003    0.000    0.010    0.000 {built-in method builtins.hasattr}
      384    0.003    0.000    0.031    0.000 <frozen importlib._bootstrap>:879(_find_spec)
     8928    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      147    0.003    0.000    0.003    0.000 sre_compile.py:248(_optimize_charset)
      396    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     3475    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
       12    0.002    0.000    0.015    0.001 artist.py:1150(_get_setters_and_targets)
      313    0.002    0.000    0.099    0.000 <frozen importlib._bootstrap_external>:761(get_code)
     3475    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     1016    0.002    0.000    0.006    0.000 colors.py:142(to_rgba)
      644    0.002    0.000    0.003    0.000 inspect.py:2675(__init__)
       31    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
    372/7    0.002    0.000    0.404    0.058 <frozen importlib._bootstrap>:659(_load_unlocked)
    19253    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    10727    0.002    0.000    0.003    0.000 mathtext.py:2757(<genexpr>)
      368    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
      626    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:276(cache_from_source)
15102/15099    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
      373    0.002    0.000    0.004    0.000 colors.py:176(_to_rgba_no_colorcycle)
    390/8    0.002    0.000    0.405    0.051 <frozen importlib._bootstrap>:938(_find_and_load_unlocked)
      611    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
     1407    0.001    0.000    0.002    0.000 sre_parse.py:157(__getitem__)
      379    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1133(_get_spec)
   410/93    0.001    0.000    0.006    0.000 sre_compile.py:64(_compile)
     1491    0.001    0.000    0.012    0.000 __init__.py:897(__setitem__)
      605    0.001    0.000    0.010    0.000 inspect.py:2152(_signature_from_callable)
     3328    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      611    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:119(release)
     1939    0.001    0.000    0.020    0.000 re.py:278(_compile)
        2    0.001    0.001    0.002    0.001 decoder.py:345(raw_decode)
     1209    0.001    0.000    0.005    0.000 {built-in method builtins.any}
     1713    0.001    0.000    0.002    0.000 inspect.py:2410(__init__)
       64    0.001    0.000    0.008    0.000 colors.py:706(from_list)
4747/4738    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
      611    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:94(acquire)
      368    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:321(__exit__)
    14069    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
 1571/686    0.001    0.000    0.183    0.000 <frozen importlib._bootstrap>:995(_handle_fromlist)
     3146    0.001    0.000    0.001    0.000 sre_parse.py:226(__next)
     1615    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x562923467560}
       36    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
    313/7    0.001    0.000    0.403    0.058 <frozen importlib._bootstrap_external>:691(exec_module)
      363    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:545(spec_from_file_location)
     1850    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       60    0.001    0.000    0.002    0.000 function_base.py:25(linspace)
       11    0.001    0.000    0.002    0.000 enum.py:88(__new__)
     7608    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3392    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:396(_verbose_message)
  609/295    0.001    0.000    0.001    0.000 sre_parse.py:167(getwidth)
      501    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.array}
  368/363    0.001    0.000    0.063    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
      312    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:506(_compile_bytecode)
       27    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
        1    0.001    0.001    0.001    0.001 {built-in method posix.replace}
      266    0.001    0.000    0.002    0.000 functools.py:43(update_wrapper)
10586/10392    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       28    0.001    0.000    0.013    0.000 __init__.py:359(namedtuple)
      397    0.001    0.000    0.004    0.000 artist.py:1121(get_valid_values)
        6    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
       34    0.001    0.000    0.001    0.000 {built-in method io.open}
      312    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      390    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:163(__enter__)
      363    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:372(_get_cached)
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:957(_parseNoCache)
     3336    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      763    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1096(_path_importer_cache)
     2571    0.001    0.000    0.002    0.000 sre_parse.py:247(get)
     5264    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      158    0.001    0.000    0.016    0.000 deprecation.py:163(deprecate)
     1489    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     2920    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
    511/8    0.001    0.000    0.369    0.046 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
     1472    0.001    0.000    0.002    0.000 colors.py:107(_is_nth_color)
      394    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(__init__)
      363    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1242(_get_spec)
       10    0.001    0.000    0.001    0.000 getlimits.py:71(<lambda>)
     2279    0.001    0.000    0.001    0.000 inspect.py:2720(<genexpr>)
       12    0.001    0.000    0.001    0.000 artist.py:1104(<listcomp>)
      158    0.001    0.000    0.001    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
