M = 0  out of  200
M = 20  out of  200
M = 40  out of  200
M = 60  out of  200
M = 80  out of  200
M = 100  out of  200
M = 120  out of  200
M = 140  out of  200
M = 160  out of  200
M = 180  out of  200
         11312513 function calls (11306969 primitive calls) in 4865.365 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10400 1509.151    0.145 2068.075    0.199 U_CCQED.py:475(nE)
   108631 1083.644    0.010 1083.644    0.010 {built-in method numpy.core.multiarray.c_einsum}
    39200  741.849    0.019  741.849    0.019 {method 'take' of 'numpy.ndarray' objects}
     7200  180.470    0.025  559.982    0.078 U_CCQED.py:167(E)
     7200  175.374    0.024  554.466    0.077 U_CCQED.py:206(Ed)
     1600  155.568    0.097  969.303    0.606 U_CCQED.py:534(ME2)
     8200  108.760    0.013  110.748    0.014 decomp_svd.py:16(svd)
      400   92.493    0.231 1219.126    3.048 U_CCQED.py:542(ME4)
      200   92.125    0.461 4626.946   23.135 U_CCQED.py:14(U)
     2400   71.052    0.030   98.170    0.041 U_CCQED.py:269(Ed2mix)
     2400   70.082    0.029   97.210    0.041 U_CCQED.py:243(E2mix)
      800   66.014    0.083  157.923    0.197 U_CCQED.py:149(MS)
   169813   50.964    0.000   50.964    0.000 {built-in method numpy.core.multiarray.zeros}
      600   50.678    0.084  364.250    0.607 U_CCQED.py:549(D1)
      800   39.294    0.049 1427.131    1.784 U_CCQED.py:538(ME3)
    16400   32.593    0.002   33.292    0.002 MPS_fund_therm.py:217(unmerge)
     6400   29.375    0.005  105.481    0.016 U_CCQED.py:38(a)
      800   29.049    0.036   38.154    0.048 U_CCQED.py:334(Ed3mix)
     6400   28.930    0.005  105.414    0.016 U_CCQED.py:59(ad)
      800   28.804    0.036   37.668    0.047 U_CCQED.py:296(E3mix)
     1200   26.073    0.022  826.163    0.688 U_CCQED.py:528(nEad)
     1200   25.992    0.022  825.333    0.688 U_CCQED.py:525(nEda)
     8200   23.057    0.003   23.931    0.003 MPS_fund_therm.py:104(merge)
     1600   19.976    0.012  326.522    0.204 U_CCQED.py:531(ME1)
      800   19.111    0.024   83.617    0.105 U_CCQED.py:101(JC)
      400   17.328    0.043   19.068    0.048 U_CCQED.py:425(Ed4mix)
      400   17.080    0.043   18.816    0.047 U_CCQED.py:373(E4mix)
      200   14.229    0.071   63.555    0.318 U_CCQED.py:560(D2)
    18822    9.659    0.001    9.659    0.001 {built-in method numpy.core.multiarray.dot}
     1600    9.245    0.006   27.545    0.017 U_CCQED.py:90(sp)
     1600    9.129    0.006   27.479    0.017 U_CCQED.py:79(sm)
      800    7.851    0.010    7.851    0.010 U_CCQED.py:139(C)
    32466    5.421    0.000    5.421    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      400    2.946    0.007  160.869    0.402 U_CCQED.py:164(MStot)
   439557    2.022    0.000    2.022    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      344    1.604    0.005    1.604    0.005 {method 'read' of '_io.FileIO' objects}
    35049    1.533    0.000    4.108    0.000 contract.py:14(contract_path)
    57/52    1.507    0.026    1.519    0.029 {built-in method _imp.create_dynamic}
        1    1.095    1.095 4865.366 4865.366 MPS_CCQED+fb.py:9(<module>)
     8200    1.028    0.000    1.136    0.000 function_base.py:1152(asarray_chkfinite)
   475911    0.984    0.000    0.984    0.000 {built-in method numpy.core.multiarray.array}
    23261    0.847    0.000    1.322    0.000 function_base.py:25(linspace)
   349552    0.735    0.000    3.949    0.000 fromnumeric.py:1886(any)
     1206    0.679    0.001    4.787    0.004 MPS_analysis_therm.py:117(exp_sys)
    35049    0.506    0.000  306.407    0.009 contract.py:318(contract)
   404078    0.450    0.000    1.332    0.000 numeric.py:534(asanyarray)
    35049    0.446    0.000  301.721    0.009 contract.py:426(_core_contract)
   108631    0.428    0.000 1084.102    0.010 einsumfunc.py:703(einsum)
    12000    0.385    0.000  187.550    0.016 U_CCQED.py:131(nc)
    10822    0.346    0.000   13.935    0.001 contract.py:310(_tensordot)
    35049    0.325    0.000    0.643    0.000 parser.py:95(parse_einsum_input)
   349552    0.302    0.000    2.128    0.000 {method 'any' of 'numpy.ndarray' objects}
   136460    0.302    0.000    0.302    0.000 {built-in method numpy.core.multiarray.arange}
